reading, timestamp, unit, weighting
85.4, 2026-04-14T06:47:57.013Z, dB, A
80.1, 2026-04-14T06:47:57.525Z, dB, A
82.8, 2026-04-14T06:47:58.037Z, dB, A
85.9, 2026-04-14T06:47:58.549Z, dB, A
78.7, 2026-04-14T06:47:59.061Z, dB, A
78.7, 2026-04-14T06:47:59.061Z, dB, A
72.6, 2026-04-14T06:47:59.573Z, dB, A
69.2, 2026-04-14T06:48:00.093Z, dB, A
70.8, 2026-04-14T06:48:00.605Z, dB, A
67.4, 2026-04-14T06:48:01.117Z, dB, A
63.6, 2026-04-14T06:48:01.629Z, dB, A
66.4, 2026-04-14T06:48:02.141Z, dB, A
69.7, 2026-04-14T06:48:02.661Z, dB, A
73.6, 2026-04-14T06:48:03.173Z, dB, A
83.6, 2026-04-14T06:48:03.701Z, dB, A
84.5, 2026-04-14T06:48:04.221Z, dB, A
69.5, 2026-04-14T06:48:04.741Z, dB, A
70, 2026-04-14T06:48:05.254Z, dB, A
76.5, 2026-04-14T06:48:05.774Z, dB, A
77.2, 2026-04-14T06:48:06.293Z, dB, A
73.9, 2026-04-14T06:48:06.805Z, dB, A
76.8, 2026-04-14T06:48:07.317Z, dB, A
76.8, 2026-04-14T06:48:07.837Z, dB, A
69.9, 2026-04-14T06:48:08.357Z, dB, A
66.8, 2026-04-14T06:48:08.869Z, dB, A
64.5, 2026-04-14T06:48:09.381Z, dB, A
64, 2026-04-14T06:48:09.901Z, dB, A
63, 2026-04-14T06:48:10.413Z, dB, A
62.6, 2026-04-14T06:48:10.933Z, dB, A
63.1, 2026-04-14T06:48:11.453Z, dB, A
65.2, 2026-04-14T06:48:11.973Z, dB, A
66.4, 2026-04-14T06:48:12.485Z, dB, A
67.4, 2026-04-14T06:48:12.997Z, dB, A
67.3, 2026-04-14T06:48:13.517Z, dB, A
69.9, 2026-04-14T06:48:14.029Z, dB, A
71.3, 2026-04-14T06:48:14.541Z, dB, A
