reading, timestamp, unit, weighting
59.3, 2026-04-15T05:58:44.911Z, dB, A
64.2, 2026-04-15T05:58:45.423Z, dB, A
64.7, 2026-04-15T05:58:45.951Z, dB, A
67.5, 2026-04-15T05:58:46.471Z, dB, A
69.1, 2026-04-15T05:58:46.991Z, dB, A
69.8, 2026-04-15T05:58:47.511Z, dB, A
75.3, 2026-04-15T05:58:48.031Z, dB, A
79.2, 2026-04-15T05:58:48.551Z, dB, A
77.8, 2026-04-15T05:58:49.063Z, dB, A
68.4, 2026-04-15T05:58:49.575Z, dB, A
59.2, 2026-04-15T05:58:50.088Z, dB, A
57.1, 2026-04-15T05:58:50.607Z, dB, A
63, 2026-04-15T05:58:51.119Z, dB, A
63, 2026-04-15T05:58:51.640Z, dB, A
67.5, 2026-04-15T05:58:52.159Z, dB, A
69.1, 2026-04-15T05:58:52.679Z, dB, A
69.9, 2026-04-15T05:58:53.191Z, dB, A
70, 2026-04-15T05:58:53.711Z, dB, A
68.1, 2026-04-15T05:58:54.223Z, dB, A
68.1, 2026-04-15T05:58:54.735Z, dB, A
66.2, 2026-04-15T05:58:55.248Z, dB, A
66.3, 2026-04-15T05:58:55.767Z, dB, A
63.4, 2026-04-15T05:58:56.279Z, dB, A
59.5, 2026-04-15T05:58:56.799Z, dB, A
56.8, 2026-04-15T05:58:57.311Z, dB, A
55.2, 2026-04-15T05:58:57.831Z, dB, A
51.7, 2026-04-15T05:58:58.343Z, dB, A
51.7, 2026-04-15T05:58:58.343Z, dB, A
51.9, 2026-04-15T05:58:58.863Z, dB, A
53.4, 2026-04-15T05:58:59.374Z, dB, A
52.5, 2026-04-15T05:58:59.895Z, dB, A
53, 2026-04-15T05:59:00.407Z, dB, A
52.2, 2026-04-15T05:59:00.928Z, dB, A
52.5, 2026-04-15T05:59:01.448Z, dB, A
53.4, 2026-04-15T05:59:01.967Z, dB, A
54.5, 2026-04-15T05:59:02.487Z, dB, A
54.4, 2026-04-15T05:59:03.007Z, dB, A
56.8, 2026-04-15T05:59:03.519Z, dB, A
51.9, 2026-04-15T05:59:04.039Z, dB, A
51.8, 2026-04-15T05:59:04.559Z, dB, A
50.2, 2026-04-15T05:59:05.071Z, dB, A
50.1, 2026-04-15T05:59:05.583Z, dB, A
51.7, 2026-04-15T05:59:06.095Z, dB, A
51, 2026-04-15T05:59:06.615Z, dB, A
54.7, 2026-04-15T05:59:07.127Z, dB, A
54.5, 2026-04-15T05:59:07.647Z, dB, A
55.8, 2026-04-15T05:59:08.160Z, dB, A
53.2, 2026-04-15T05:59:08.679Z, dB, A
51, 2026-04-15T05:59:09.191Z, dB, A
55.5, 2026-04-15T05:59:09.703Z, dB, A
58.9, 2026-04-15T05:59:10.216Z, dB, A
58.9, 2026-04-15T05:59:10.735Z, dB, A
58.1, 2026-04-15T05:59:11.247Z, dB, A
58.1, 2026-04-15T05:59:11.759Z, dB, A
49.7, 2026-04-15T05:59:12.271Z, dB, A
49.5, 2026-04-15T05:59:12.791Z, dB, A
49.9, 2026-04-15T05:59:13.303Z, dB, A
50.7, 2026-04-15T05:59:13.823Z, dB, A
50.7, 2026-04-15T05:59:14.335Z, dB, A
50.7, 2026-04-15T05:59:14.335Z, dB, A
76.1, 2026-04-15T05:59:14.855Z, dB, A
50, 2026-04-15T05:59:15.367Z, dB, A
48.7, 2026-04-15T05:59:15.886Z, dB, A
48.6, 2026-04-15T05:59:16.399Z, dB, A
51.7, 2026-04-15T05:59:16.919Z, dB, A
51.7, 2026-04-15T05:59:17.431Z, dB, A
48.7, 2026-04-15T05:59:17.951Z, dB, A
50, 2026-04-15T05:59:18.463Z, dB, A
50.5, 2026-04-15T05:59:18.983Z, dB, A
55, 2026-04-15T05:59:19.494Z, dB, A
51.3, 2026-04-15T05:59:20.015Z, dB, A
51.2, 2026-04-15T05:59:20.535Z, dB, A
56.7, 2026-04-15T05:59:21.055Z, dB, A
51.6, 2026-04-15T05:59:21.567Z, dB, A
51.6, 2026-04-15T05:59:22.086Z, dB, A
52.6, 2026-04-15T05:59:22.599Z, dB, A
54.1, 2026-04-15T05:59:23.111Z, dB, A
54.9, 2026-04-15T05:59:23.631Z, dB, A
55, 2026-04-15T05:59:24.143Z, dB, A
55.2, 2026-04-15T05:59:24.655Z, dB, A
51.2, 2026-04-15T05:59:25.167Z, dB, A
55.5, 2026-04-15T05:59:25.679Z, dB, A
55.5, 2026-04-15T05:59:26.191Z, dB, A
62.3, 2026-04-15T05:59:26.703Z, dB, A
60.2, 2026-04-15T05:59:27.215Z, dB, A
61.9, 2026-04-15T05:59:27.726Z, dB, A
62.2, 2026-04-15T05:59:28.247Z, dB, A
61.5, 2026-04-15T05:59:28.767Z, dB, A
64.7, 2026-04-15T05:59:29.287Z, dB, A
69.1, 2026-04-15T05:59:29.799Z, dB, A
72.6, 2026-04-15T05:59:30.319Z, dB, A
73.9, 2026-04-15T05:59:30.831Z, dB, A
73.9, 2026-04-15T05:59:31.351Z, dB, A
73.9, 2026-04-15T05:59:31.351Z, dB, A
73.4, 2026-04-15T05:59:31.863Z, dB, A
68.7, 2026-04-15T05:59:32.382Z, dB, A
64.5, 2026-04-15T05:59:32.895Z, dB, A
60.2, 2026-04-15T05:59:33.415Z, dB, A
59, 2026-04-15T05:59:33.935Z, dB, A
57.9, 2026-04-15T05:59:34.455Z, dB, A
61.7, 2026-04-15T05:59:34.975Z, dB, A
60.3, 2026-04-15T05:59:35.495Z, dB, A
61.7, 2026-04-15T05:59:36.007Z, dB, A
63.7, 2026-04-15T05:59:36.527Z, dB, A
64.4, 2026-04-15T05:59:37.038Z, dB, A
63.6, 2026-04-15T05:59:37.558Z, dB, A
64.6, 2026-04-15T05:59:38.071Z, dB, A
62, 2026-04-15T05:59:38.591Z, dB, A
62.6, 2026-04-15T05:59:39.102Z, dB, A
61.2, 2026-04-15T05:59:39.623Z, dB, A
61.3, 2026-04-15T05:59:40.135Z, dB, A
60.6, 2026-04-15T05:59:40.655Z, dB, A
60.6, 2026-04-15T05:59:41.166Z, dB, A
60.3, 2026-04-15T05:59:41.686Z, dB, A
60.2, 2026-04-15T05:59:42.199Z, dB, A
59.2, 2026-04-15T05:59:42.719Z, dB, A
53.2, 2026-04-15T05:59:43.238Z, dB, A
53.1, 2026-04-15T05:59:43.751Z, dB, A
53.3, 2026-04-15T05:59:44.271Z, dB, A
54.5, 2026-04-15T05:59:44.790Z, dB, A
53.4, 2026-04-15T05:59:45.311Z, dB, A
53.8, 2026-04-15T05:59:45.823Z, dB, A
55.6, 2026-04-15T05:59:46.343Z, dB, A
53.7, 2026-04-15T05:59:46.855Z, dB, A
53.7, 2026-04-15T05:59:46.855Z, dB, A
52.2, 2026-04-15T05:59:47.374Z, dB, A
52.9, 2026-04-15T05:59:47.887Z, dB, A
53.3, 2026-04-15T05:59:48.407Z, dB, A
55.8, 2026-04-15T05:59:48.919Z, dB, A
54.7, 2026-04-15T05:59:49.439Z, dB, A
52.4, 2026-04-15T05:59:49.951Z, dB, A
52.7, 2026-04-15T05:59:50.462Z, dB, A
52.7, 2026-04-15T05:59:50.975Z, dB, A
54.7, 2026-04-15T05:59:51.494Z, dB, A
54.4, 2026-04-15T05:59:52.007Z, dB, A
57.3, 2026-04-15T05:59:52.519Z, dB, A
57, 2026-04-15T05:59:53.031Z, dB, A
51.1, 2026-04-15T05:59:53.543Z, dB, A
51.9, 2026-04-15T05:59:54.055Z, dB, A
51.9, 2026-04-15T05:59:54.575Z, dB, A
52.2, 2026-04-15T05:59:55.087Z, dB, A
59, 2026-04-15T05:59:55.599Z, dB, A
52.1, 2026-04-15T05:59:56.111Z, dB, A
49.7, 2026-04-15T05:59:56.623Z, dB, A
51.1, 2026-04-15T05:59:57.135Z, dB, A
51.4, 2026-04-15T05:59:57.647Z, dB, A
