reading, timestamp, unit, weighting
70.3, 2026-04-13T10:16:12.183Z, dB, A
70.3, 2026-04-13T10:16:12.695Z, dB, A
72.3, 2026-04-13T10:16:13.207Z, dB, A
80.5, 2026-04-13T10:16:13.719Z, dB, A
80.2, 2026-04-13T10:16:14.231Z, dB, A
76.5, 2026-04-13T10:16:14.743Z, dB, A
77.7, 2026-04-13T10:16:15.255Z, dB, A
75.4, 2026-04-13T10:16:15.768Z, dB, A
71.3, 2026-04-13T10:16:16.279Z, dB, A
70.6, 2026-04-13T10:16:16.791Z, dB, A
87.5, 2026-04-13T10:16:17.304Z, dB, A
87.5, 2026-04-13T10:16:17.304Z, dB, A
73.4, 2026-04-13T10:16:17.816Z, dB, A
76.7, 2026-04-13T10:16:18.327Z, dB, A
76.3, 2026-04-13T10:16:18.839Z, dB, A
70.4, 2026-04-13T10:16:19.351Z, dB, A
69.1, 2026-04-13T10:16:19.863Z, dB, A
68.2, 2026-04-13T10:16:20.384Z, dB, A
69.2, 2026-04-13T10:16:20.896Z, dB, A
72.2, 2026-04-13T10:16:21.416Z, dB, A
73.3, 2026-04-13T10:16:21.935Z, dB, A
77.6, 2026-04-13T10:16:22.448Z, dB, A
79.5, 2026-04-13T10:16:22.968Z, dB, A
74.7, 2026-04-13T10:16:23.488Z, dB, A
67.5, 2026-04-13T10:16:24.025Z, dB, A
66.3, 2026-04-13T10:16:24.543Z, dB, A
66.6, 2026-04-13T10:16:25.056Z, dB, A
68.3, 2026-04-13T10:16:25.568Z, dB, A
72.3, 2026-04-13T10:16:26.088Z, dB, A
76.1, 2026-04-13T10:16:26.600Z, dB, A
74.7, 2026-04-13T10:16:27.128Z, dB, A
71.3, 2026-04-13T10:16:27.640Z, dB, A
68.1, 2026-04-13T10:16:28.169Z, dB, A
65.1, 2026-04-13T10:16:28.688Z, dB, A
67.8, 2026-04-13T10:16:29.199Z, dB, A
63.2, 2026-04-13T10:16:29.711Z, dB, A
61.5, 2026-04-13T10:16:30.240Z, dB, A
60.1, 2026-04-13T10:16:30.760Z, dB, A
59.6, 2026-04-13T10:16:31.272Z, dB, A
61.1, 2026-04-13T10:16:31.792Z, dB, A
61.2, 2026-04-13T10:16:32.304Z, dB, A
61.2, 2026-04-13T10:16:32.304Z, dB, A
61.8, 2026-04-13T10:16:32.816Z, dB, A
62.8, 2026-04-13T10:16:33.328Z, dB, A
63.8, 2026-04-13T10:16:33.840Z, dB, A
