reading, timestamp, unit, weighting
58.6, 2026-04-16T10:51:06.880Z, dB, A
57.9, 2026-04-16T10:51:07.392Z, dB, A
59.5, 2026-04-16T10:51:07.912Z, dB, A
61, 2026-04-16T10:51:08.432Z, dB, A
59.4, 2026-04-16T10:51:08.952Z, dB, A
60.9, 2026-04-16T10:51:09.472Z, dB, A
60.9, 2026-04-16T10:51:09.992Z, dB, A
63.4, 2026-04-16T10:51:10.504Z, dB, A
63.1, 2026-04-16T10:51:11.024Z, dB, A
63.5, 2026-04-16T10:51:11.536Z, dB, A
64, 2026-04-16T10:51:12.056Z, dB, A
63.2, 2026-04-16T10:51:12.568Z, dB, A
63.3, 2026-04-16T10:51:13.088Z, dB, A
63.6, 2026-04-16T10:51:13.600Z, dB, A
63.2, 2026-04-16T10:51:14.120Z, dB, A
63.4, 2026-04-16T10:51:14.631Z, dB, A
65.6, 2026-04-16T10:51:15.144Z, dB, A
70.1, 2026-04-16T10:51:15.656Z, dB, A
70.8, 2026-04-16T10:51:16.168Z, dB, A
70.3, 2026-04-16T10:51:16.680Z, dB, A
69.6, 2026-04-16T10:51:17.191Z, dB, A
68, 2026-04-16T10:51:17.703Z, dB, A
68.1, 2026-04-16T10:51:18.216Z, dB, A
68.9, 2026-04-16T10:51:18.728Z, dB, A
67.9, 2026-04-16T10:51:19.240Z, dB, A
67.3, 2026-04-16T10:51:19.752Z, dB, A
66.4, 2026-04-16T10:51:20.264Z, dB, A
65.2, 2026-04-16T10:51:20.776Z, dB, A
64.9, 2026-04-16T10:51:21.288Z, dB, A
64, 2026-04-16T10:51:21.799Z, dB, A
65.6, 2026-04-16T10:51:22.311Z, dB, A
66.9, 2026-04-16T10:51:22.824Z, dB, A
64.4, 2026-04-16T10:51:23.336Z, dB, A
63.7, 2026-04-16T10:51:23.848Z, dB, A
63.7, 2026-04-16T10:51:23.848Z, dB, A
63.8, 2026-04-16T10:51:24.359Z, dB, A
65.4, 2026-04-16T10:51:24.880Z, dB, A
63.6, 2026-04-16T10:51:25.392Z, dB, A
64.2, 2026-04-16T10:51:25.904Z, dB, A
65.9, 2026-04-16T10:51:26.417Z, dB, A
66.2, 2026-04-16T10:51:26.936Z, dB, A
67.4, 2026-04-16T10:51:27.457Z, dB, A
67.9, 2026-04-16T10:51:27.968Z, dB, A
67.3, 2026-04-16T10:51:28.480Z, dB, A
69.2, 2026-04-16T10:51:28.991Z, dB, A
68.3, 2026-04-16T10:51:29.504Z, dB, A
70.8, 2026-04-16T10:51:30.016Z, dB, A
68.7, 2026-04-16T10:51:30.528Z, dB, A
64.5, 2026-04-16T10:51:31.040Z, dB, A
63.9, 2026-04-16T10:51:31.560Z, dB, A
64.1, 2026-04-16T10:51:32.080Z, dB, A
65.9, 2026-04-16T10:51:32.592Z, dB, A
66.4, 2026-04-16T10:51:33.104Z, dB, A
66.6, 2026-04-16T10:51:33.616Z, dB, A
68.2, 2026-04-16T10:51:34.128Z, dB, A
67.5, 2026-04-16T10:51:34.640Z, dB, A
69.1, 2026-04-16T10:51:35.152Z, dB, A
70.5, 2026-04-16T10:51:35.665Z, dB, A
72.2, 2026-04-16T10:51:36.184Z, dB, A
73, 2026-04-16T10:51:36.696Z, dB, A
75.9, 2026-04-16T10:51:37.208Z, dB, A
77.5, 2026-04-16T10:51:37.720Z, dB, A
78.5, 2026-04-16T10:51:38.232Z, dB, A
79.6, 2026-04-16T10:51:38.744Z, dB, A
73, 2026-04-16T10:51:39.256Z, dB, A
73.7, 2026-04-16T10:51:39.768Z, dB, A
78.6, 2026-04-16T10:51:40.280Z, dB, A
84.9, 2026-04-16T10:51:40.792Z, dB, A
83.2, 2026-04-16T10:51:41.304Z, dB, A
