reading, timestamp, unit, weighting
71.5, 2026-04-13T06:00:51.862Z, dB, A
70.9, 2026-04-13T06:00:52.374Z, dB, A
70.8, 2026-04-13T06:00:52.886Z, dB, A
70.5, 2026-04-13T06:00:53.398Z, dB, A
73.2, 2026-04-13T06:00:53.910Z, dB, A
74, 2026-04-13T06:00:54.422Z, dB, A
73.4, 2026-04-13T06:00:54.934Z, dB, A
74.8, 2026-04-13T06:00:55.446Z, dB, A
76.1, 2026-04-13T06:00:55.958Z, dB, A
80.4, 2026-04-13T06:00:56.470Z, dB, A
82, 2026-04-13T06:00:56.982Z, dB, A
83.6, 2026-04-13T06:00:57.502Z, dB, A
81.2, 2026-04-13T06:00:58.014Z, dB, A
80.3, 2026-04-13T06:00:58.526Z, dB, A
76.7, 2026-04-13T06:00:59.038Z, dB, A
76.7, 2026-04-13T06:00:59.550Z, dB, A
76.7, 2026-04-13T06:00:59.550Z, dB, A
71.8, 2026-04-13T06:01:00.069Z, dB, A
70.5, 2026-04-13T06:01:00.582Z, dB, A
72.2, 2026-04-13T06:01:01.102Z, dB, A
75.1, 2026-04-13T06:01:01.614Z, dB, A
80.1, 2026-04-13T06:01:02.134Z, dB, A
80.8, 2026-04-13T06:01:02.646Z, dB, A
77, 2026-04-13T06:01:03.165Z, dB, A
74.3, 2026-04-13T06:01:03.677Z, dB, A
68.9, 2026-04-13T06:01:04.198Z, dB, A
66.9, 2026-04-13T06:01:04.711Z, dB, A
67.7, 2026-04-13T06:01:05.223Z, dB, A
66.8, 2026-04-13T06:01:05.742Z, dB, A
64.5, 2026-04-13T06:01:06.254Z, dB, A
66.2, 2026-04-13T06:01:06.766Z, dB, A
67.6, 2026-04-13T06:01:07.278Z, dB, A
73.5, 2026-04-13T06:01:07.790Z, dB, A
76.1, 2026-04-13T06:01:08.301Z, dB, A
77.2, 2026-04-13T06:01:08.814Z, dB, A
77.2, 2026-04-13T06:01:09.326Z, dB, A
75.1, 2026-04-13T06:01:09.838Z, dB, A
71.4, 2026-04-13T06:01:10.350Z, dB, A
74.6, 2026-04-13T06:01:10.862Z, dB, A
76.8, 2026-04-13T06:01:11.383Z, dB, A
79.6, 2026-04-13T06:01:11.902Z, dB, A
81, 2026-04-13T06:01:12.414Z, dB, A
82.6, 2026-04-13T06:01:12.926Z, dB, A
82.5, 2026-04-13T06:01:13.438Z, dB, A
81.8, 2026-04-13T06:01:13.950Z, dB, A
79.5, 2026-04-13T06:01:14.462Z, dB, A
75.1, 2026-04-13T06:01:14.974Z, dB, A
77.2, 2026-04-13T06:01:15.486Z, dB, A
79, 2026-04-13T06:01:15.998Z, dB, A
83.5, 2026-04-13T06:01:16.510Z, dB, A
87, 2026-04-13T06:01:17.022Z, dB, A
87, 2026-04-13T06:01:17.535Z, dB, A
87, 2026-04-13T06:01:17.535Z, dB, A
90.4, 2026-04-13T06:01:18.054Z, dB, A
