reading, timestamp, unit, weighting
76, 2026-04-14T06:08:26.065Z, dB, A
90.6, 2026-04-14T06:08:26.576Z, dB, A
74.4, 2026-04-14T06:08:27.096Z, dB, A
74.2, 2026-04-14T06:08:27.609Z, dB, A
71, 2026-04-14T06:08:28.129Z, dB, A
74.2, 2026-04-14T06:08:28.649Z, dB, A
73.9, 2026-04-14T06:08:29.168Z, dB, A
75.2, 2026-04-14T06:08:29.681Z, dB, A
74.4, 2026-04-14T06:08:30.202Z, dB, A
75.3, 2026-04-14T06:08:30.721Z, dB, A
74.4, 2026-04-14T06:08:31.233Z, dB, A
72.6, 2026-04-14T06:08:31.753Z, dB, A
73.7, 2026-04-14T06:08:32.273Z, dB, A
74.1, 2026-04-14T06:08:32.793Z, dB, A
75.3, 2026-04-14T06:08:33.313Z, dB, A
75.3, 2026-04-14T06:08:33.825Z, dB, A
78.6, 2026-04-14T06:08:34.337Z, dB, A
78.7, 2026-04-14T06:08:34.857Z, dB, A
77.5, 2026-04-14T06:08:35.368Z, dB, A
76.5, 2026-04-14T06:08:35.881Z, dB, A
77.4, 2026-04-14T06:08:36.393Z, dB, A
78.6, 2026-04-14T06:08:36.905Z, dB, A
78.1, 2026-04-14T06:08:37.417Z, dB, A
75.3, 2026-04-14T06:08:37.929Z, dB, A
78.9, 2026-04-14T06:08:38.440Z, dB, A
78.6, 2026-04-14T06:08:38.953Z, dB, A
80.3, 2026-04-14T06:08:39.465Z, dB, A
81.4, 2026-04-14T06:08:39.977Z, dB, A
76.6, 2026-04-14T06:08:40.488Z, dB, A
80.6, 2026-04-14T06:08:41.001Z, dB, A
82, 2026-04-14T06:08:41.513Z, dB, A
78.5, 2026-04-14T06:08:42.025Z, dB, A
79.5, 2026-04-14T06:08:42.537Z, dB, A
80.1, 2026-04-14T06:08:43.057Z, dB, A
80.1, 2026-04-14T06:08:43.057Z, dB, A
75.3, 2026-04-14T06:08:43.576Z, dB, A
76.1, 2026-04-14T06:08:44.097Z, dB, A
75.1, 2026-04-14T06:08:44.609Z, dB, A
71.9, 2026-04-14T06:08:45.128Z, dB, A
71.6, 2026-04-14T06:08:45.641Z, dB, A
70.9, 2026-04-14T06:08:46.153Z, dB, A
67.9, 2026-04-14T06:08:46.673Z, dB, A
68.7, 2026-04-14T06:08:47.193Z, dB, A
73.3, 2026-04-14T06:08:47.713Z, dB, A
75.7, 2026-04-14T06:08:48.233Z, dB, A
76.2, 2026-04-14T06:08:48.753Z, dB, A
75.4, 2026-04-14T06:08:49.264Z, dB, A
79.2, 2026-04-14T06:08:49.777Z, dB, A
79.3, 2026-04-14T06:08:50.297Z, dB, A
81.8, 2026-04-14T06:08:50.817Z, dB, A
81.2, 2026-04-14T06:08:51.345Z, dB, A
79.8, 2026-04-14T06:08:51.865Z, dB, A
79.7, 2026-04-14T06:08:52.377Z, dB, A
82.8, 2026-04-14T06:08:52.889Z, dB, A
83.2, 2026-04-14T06:08:53.400Z, dB, A
84.1, 2026-04-14T06:08:53.912Z, dB, A
89.8, 2026-04-14T06:08:54.425Z, dB, A
92.8, 2026-04-14T06:08:54.937Z, dB, A
90.1, 2026-04-14T06:08:55.449Z, dB, A
86.6, 2026-04-14T06:08:55.961Z, dB, A
85.3, 2026-04-14T06:08:56.473Z, dB, A
85.7, 2026-04-14T06:08:56.993Z, dB, A
85.7, 2026-04-14T06:08:57.504Z, dB, A
85.3, 2026-04-14T06:08:58.016Z, dB, A
79.5, 2026-04-14T06:08:58.529Z, dB, A
79.6, 2026-04-14T06:08:59.041Z, dB, A
78.3, 2026-04-14T06:08:59.553Z, dB, A
78.7, 2026-04-14T06:09:00.064Z, dB, A
78.7, 2026-04-14T06:09:00.064Z, dB, A
80.3, 2026-04-14T06:09:00.576Z, dB, A
81.1, 2026-04-14T06:09:01.088Z, dB, A
81.3, 2026-04-14T06:09:01.600Z, dB, A
82.5, 2026-04-14T06:09:02.112Z, dB, A
84.4, 2026-04-14T06:09:02.625Z, dB, A
86.7, 2026-04-14T06:09:03.146Z, dB, A
85.1, 2026-04-14T06:09:03.665Z, dB, A
81.5, 2026-04-14T06:09:04.185Z, dB, A
82.8, 2026-04-14T06:09:04.697Z, dB, A
83.5, 2026-04-14T06:09:05.209Z, dB, A
80.5, 2026-04-14T06:09:05.729Z, dB, A
81.9, 2026-04-14T06:09:06.249Z, dB, A
93.6, 2026-04-14T06:09:06.760Z, dB, A
86.9, 2026-04-14T06:09:07.273Z, dB, A
99.5, 2026-04-14T06:09:07.793Z, dB, A
100.7, 2026-04-14T06:09:08.313Z, dB, A
87.4, 2026-04-14T06:09:08.833Z, dB, A
85, 2026-04-14T06:09:09.353Z, dB, A
83.6, 2026-04-14T06:09:09.873Z, dB, A
83.7, 2026-04-14T06:09:10.393Z, dB, A
83.3, 2026-04-14T06:09:10.905Z, dB, A
87.4, 2026-04-14T06:09:11.424Z, dB, A
87.4, 2026-04-14T06:09:11.937Z, dB, A
77.3, 2026-04-14T06:09:12.449Z, dB, A
75.7, 2026-04-14T06:09:12.961Z, dB, A
78.2, 2026-04-14T06:09:13.473Z, dB, A
78.4, 2026-04-14T06:09:13.985Z, dB, A
77.9, 2026-04-14T06:09:14.497Z, dB, A
80.9, 2026-04-14T06:09:15.009Z, dB, A
75.3, 2026-04-14T06:09:15.521Z, dB, A
77.3, 2026-04-14T06:09:16.033Z, dB, A
80.3, 2026-04-14T06:09:16.553Z, dB, A
78.7, 2026-04-14T06:09:17.066Z, dB, A
78.7, 2026-04-14T06:09:17.066Z, dB, A
75.6, 2026-04-14T06:09:17.585Z, dB, A
75, 2026-04-14T06:09:18.097Z, dB, A
77, 2026-04-14T06:09:18.608Z, dB, A
76.2, 2026-04-14T06:09:19.121Z, dB, A
76.2, 2026-04-14T06:09:19.641Z, dB, A
75.2, 2026-04-14T06:09:20.153Z, dB, A
76.6, 2026-04-14T06:09:20.665Z, dB, A
74.8, 2026-04-14T06:09:21.185Z, dB, A
76.5, 2026-04-14T06:09:21.705Z, dB, A
80.1, 2026-04-14T06:09:22.225Z, dB, A
80.4, 2026-04-14T06:09:22.737Z, dB, A
76.4, 2026-04-14T06:09:23.249Z, dB, A
75.5, 2026-04-14T06:09:23.769Z, dB, A
74.6, 2026-04-14T06:09:24.289Z, dB, A
74.2, 2026-04-14T06:09:24.801Z, dB, A
74.8, 2026-04-14T06:09:25.321Z, dB, A
76.1, 2026-04-14T06:09:25.833Z, dB, A
77.3, 2026-04-14T06:09:26.353Z, dB, A
77.6, 2026-04-14T06:09:26.865Z, dB, A
77.6, 2026-04-14T06:09:27.385Z, dB, A
76.8, 2026-04-14T06:09:27.897Z, dB, A
78, 2026-04-14T06:09:28.417Z, dB, A
80.4, 2026-04-14T06:09:28.929Z, dB, A
77.8, 2026-04-14T06:09:29.449Z, dB, A
77.7, 2026-04-14T06:09:29.961Z, dB, A
76.4, 2026-04-14T06:09:30.481Z, dB, A
73.7, 2026-04-14T06:09:30.993Z, dB, A
74.6, 2026-04-14T06:09:31.513Z, dB, A
75.7, 2026-04-14T06:09:32.025Z, dB, A
75.8, 2026-04-14T06:09:32.536Z, dB, A
74.5, 2026-04-14T06:09:33.049Z, dB, A
76.5, 2026-04-14T06:09:33.561Z, dB, A
76.5, 2026-04-14T06:09:33.561Z, dB, A
77.7, 2026-04-14T06:09:34.072Z, dB, A
76.5, 2026-04-14T06:09:34.585Z, dB, A
79.4, 2026-04-14T06:09:35.109Z, dB, A
80.3, 2026-04-14T06:09:35.626Z, dB, A
79, 2026-04-14T06:09:36.145Z, dB, A
80.3, 2026-04-14T06:09:36.665Z, dB, A
84.5, 2026-04-14T06:09:37.185Z, dB, A
86.8, 2026-04-14T06:09:37.697Z, dB, A
91.7, 2026-04-14T06:09:38.217Z, dB, A
85.5, 2026-04-14T06:09:38.730Z, dB, A
82.4, 2026-04-14T06:09:39.249Z, dB, A
81.8, 2026-04-14T06:09:39.761Z, dB, A
82.3, 2026-04-14T06:09:40.282Z, dB, A
77.7, 2026-04-14T06:09:40.801Z, dB, A
78.1, 2026-04-14T06:09:41.321Z, dB, A
84, 2026-04-14T06:09:41.833Z, dB, A
85, 2026-04-14T06:09:42.352Z, dB, A
85.9, 2026-04-14T06:09:42.865Z, dB, A
86.1, 2026-04-14T06:09:43.385Z, dB, A
86.8, 2026-04-14T06:09:43.897Z, dB, A
85, 2026-04-14T06:09:44.417Z, dB, A
83.4, 2026-04-14T06:09:44.929Z, dB, A
82.1, 2026-04-14T06:09:45.448Z, dB, A
79.2, 2026-04-14T06:09:45.961Z, dB, A
77.8, 2026-04-14T06:09:46.481Z, dB, A
77.5, 2026-04-14T06:09:46.993Z, dB, A
75.8, 2026-04-14T06:09:47.512Z, dB, A
74.2, 2026-04-14T06:09:48.025Z, dB, A
74.2, 2026-04-14T06:09:48.544Z, dB, A
74, 2026-04-14T06:09:49.057Z, dB, A
74, 2026-04-14T06:09:49.057Z, dB, A
74.5, 2026-04-14T06:09:49.577Z, dB, A
74.7, 2026-04-14T06:09:50.089Z, dB, A
74.7, 2026-04-14T06:09:50.609Z, dB, A
72.6, 2026-04-14T06:09:51.121Z, dB, A
73.2, 2026-04-14T06:09:51.633Z, dB, A
73.4, 2026-04-14T06:09:52.153Z, dB, A
74.4, 2026-04-14T06:09:52.665Z, dB, A
76.8, 2026-04-14T06:09:53.185Z, dB, A
75.9, 2026-04-14T06:09:53.705Z, dB, A
76.6, 2026-04-14T06:09:54.225Z, dB, A
74.9, 2026-04-14T06:09:54.745Z, dB, A
75.5, 2026-04-14T06:09:55.265Z, dB, A
76.3, 2026-04-14T06:09:55.778Z, dB, A
76.4, 2026-04-14T06:09:56.297Z, dB, A
76.5, 2026-04-14T06:09:56.810Z, dB, A
77.7, 2026-04-14T06:09:57.329Z, dB, A
77.8, 2026-04-14T06:09:57.849Z, dB, A
76.5, 2026-04-14T06:09:58.369Z, dB, A
77.8, 2026-04-14T06:09:58.881Z, dB, A
75.2, 2026-04-14T06:09:59.401Z, dB, A
72.6, 2026-04-14T06:09:59.913Z, dB, A
71.2, 2026-04-14T06:10:00.433Z, dB, A
70.5, 2026-04-14T06:10:00.945Z, dB, A
78.9, 2026-04-14T06:10:01.465Z, dB, A
68.9, 2026-04-14T06:10:01.977Z, dB, A
68.1, 2026-04-14T06:10:02.497Z, dB, A
68.8, 2026-04-14T06:10:03.009Z, dB, A
69.7, 2026-04-14T06:10:03.529Z, dB, A
67.3, 2026-04-14T06:10:04.041Z, dB, A
66.5, 2026-04-14T06:10:04.561Z, dB, A
65.3, 2026-04-14T06:10:05.073Z, dB, A
65.3, 2026-04-14T06:10:05.073Z, dB, A
65.4, 2026-04-14T06:10:05.594Z, dB, A
65.5, 2026-04-14T06:10:06.114Z, dB, A
66.6, 2026-04-14T06:10:06.624Z, dB, A
68, 2026-04-14T06:10:07.137Z, dB, A
70.1, 2026-04-14T06:10:07.649Z, dB, A
69.7, 2026-04-14T06:10:08.161Z, dB, A
68, 2026-04-14T06:10:08.673Z, dB, A
68.8, 2026-04-14T06:10:09.192Z, dB, A
71.9, 2026-04-14T06:10:09.705Z, dB, A
72.1, 2026-04-14T06:10:10.225Z, dB, A
73, 2026-04-14T06:10:10.737Z, dB, A
75.6, 2026-04-14T06:10:11.249Z, dB, A
75.9, 2026-04-14T06:10:11.761Z, dB, A
73.7, 2026-04-14T06:10:12.281Z, dB, A
72.7, 2026-04-14T06:10:12.809Z, dB, A
71.5, 2026-04-14T06:10:13.329Z, dB, A
70.7, 2026-04-14T06:10:13.849Z, dB, A
71.6, 2026-04-14T06:10:14.361Z, dB, A
71.8, 2026-04-14T06:10:14.881Z, dB, A
72.7, 2026-04-14T06:10:15.393Z, dB, A
70.9, 2026-04-14T06:10:15.913Z, dB, A
70.9, 2026-04-14T06:10:16.425Z, dB, A
70.2, 2026-04-14T06:10:16.945Z, dB, A
70, 2026-04-14T06:10:17.456Z, dB, A
72.9, 2026-04-14T06:10:17.977Z, dB, A
73.2, 2026-04-14T06:10:18.488Z, dB, A
73.7, 2026-04-14T06:10:19.009Z, dB, A
74, 2026-04-14T06:10:19.521Z, dB, A
74.2, 2026-04-14T06:10:20.049Z, dB, A
73.1, 2026-04-14T06:10:20.561Z, dB, A
73.1, 2026-04-14T06:10:20.561Z, dB, A
72, 2026-04-14T06:10:21.089Z, dB, A
71.3, 2026-04-14T06:10:21.601Z, dB, A
71.5, 2026-04-14T06:10:22.129Z, dB, A
72.8, 2026-04-14T06:10:22.641Z, dB, A
73.8, 2026-04-14T06:10:23.161Z, dB, A
75.1, 2026-04-14T06:10:23.681Z, dB, A
75.9, 2026-04-14T06:10:24.201Z, dB, A
75.5, 2026-04-14T06:10:24.713Z, dB, A
75.9, 2026-04-14T06:10:25.241Z, dB, A
75.6, 2026-04-14T06:10:25.753Z, dB, A
71.1, 2026-04-14T06:10:26.274Z, dB, A
70.6, 2026-04-14T06:10:26.792Z, dB, A
69.4, 2026-04-14T06:10:27.305Z, dB, A
69.3, 2026-04-14T06:10:27.825Z, dB, A
70.1, 2026-04-14T06:10:28.345Z, dB, A
69.5, 2026-04-14T06:10:28.865Z, dB, A
70.9, 2026-04-14T06:10:29.385Z, dB, A
71.8, 2026-04-14T06:10:29.905Z, dB, A
72.2, 2026-04-14T06:10:30.417Z, dB, A
73.2, 2026-04-14T06:10:30.937Z, dB, A
74, 2026-04-14T06:10:31.449Z, dB, A
74.9, 2026-04-14T06:10:31.969Z, dB, A
73.9, 2026-04-14T06:10:32.481Z, dB, A
74, 2026-04-14T06:10:33.001Z, dB, A
74.7, 2026-04-14T06:10:33.513Z, dB, A
73.1, 2026-04-14T06:10:34.025Z, dB, A
74.5, 2026-04-14T06:10:34.536Z, dB, A
77.7, 2026-04-14T06:10:35.049Z, dB, A
79.5, 2026-04-14T06:10:35.561Z, dB, A
79.5, 2026-04-14T06:10:35.561Z, dB, A
79.1, 2026-04-14T06:10:36.075Z, dB, A
79.8, 2026-04-14T06:10:36.593Z, dB, A
79.2, 2026-04-14T06:10:37.104Z, dB, A
77.2, 2026-04-14T06:10:37.617Z, dB, A
77.5, 2026-04-14T06:10:38.130Z, dB, A
76.6, 2026-04-14T06:10:38.649Z, dB, A
76.3, 2026-04-14T06:10:39.169Z, dB, A
78.8, 2026-04-14T06:10:39.681Z, dB, A
75.3, 2026-04-14T06:10:40.193Z, dB, A
75.6, 2026-04-14T06:10:40.713Z, dB, A
74.7, 2026-04-14T06:10:41.225Z, dB, A
75, 2026-04-14T06:10:41.745Z, dB, A
76.1, 2026-04-14T06:10:42.258Z, dB, A
78.4, 2026-04-14T06:10:42.777Z, dB, A
76.2, 2026-04-14T06:10:43.289Z, dB, A
73.3, 2026-04-14T06:10:43.809Z, dB, A
75.6, 2026-04-14T06:10:44.321Z, dB, A
79.9, 2026-04-14T06:10:44.841Z, dB, A
79.9, 2026-04-14T06:10:45.353Z, dB, A
77.1, 2026-04-14T06:10:45.881Z, dB, A
79.7, 2026-04-14T06:10:46.393Z, dB, A
79.8, 2026-04-14T06:10:46.913Z, dB, A
79.7, 2026-04-14T06:10:47.424Z, dB, A
79.1, 2026-04-14T06:10:47.945Z, dB, A
79.6, 2026-04-14T06:10:48.457Z, dB, A
82.4, 2026-04-14T06:10:48.977Z, dB, A
81.8, 2026-04-14T06:10:49.489Z, dB, A
79.3, 2026-04-14T06:10:50.008Z, dB, A
77.3, 2026-04-14T06:10:50.521Z, dB, A
78.4, 2026-04-14T06:10:51.041Z, dB, A
79.1, 2026-04-14T06:10:51.553Z, dB, A
79.1, 2026-04-14T06:10:51.553Z, dB, A
83.2, 2026-04-14T06:10:52.073Z, dB, A
83.4, 2026-04-14T06:10:52.585Z, dB, A
80.3, 2026-04-14T06:10:53.113Z, dB, A
80, 2026-04-14T06:10:53.625Z, dB, A
82.3, 2026-04-14T06:10:54.153Z, dB, A
78.1, 2026-04-14T06:10:54.665Z, dB, A
77.5, 2026-04-14T06:10:55.185Z, dB, A
78, 2026-04-14T06:10:55.697Z, dB, A
81.8, 2026-04-14T06:10:56.217Z, dB, A
81.8, 2026-04-14T06:10:56.729Z, dB, A
86.5, 2026-04-14T06:10:57.249Z, dB, A
87.4, 2026-04-14T06:10:57.760Z, dB, A
84.1, 2026-04-14T06:10:58.281Z, dB, A
83.6, 2026-04-14T06:10:58.801Z, dB, A
85.3, 2026-04-14T06:10:59.313Z, dB, A
86.3, 2026-04-14T06:10:59.841Z, dB, A
85.8, 2026-04-14T06:11:00.353Z, dB, A
86, 2026-04-14T06:11:00.873Z, dB, A
86.3, 2026-04-14T06:11:01.385Z, dB, A
88.8, 2026-04-14T06:11:01.905Z, dB, A
90.4, 2026-04-14T06:11:02.417Z, dB, A
86.6, 2026-04-14T06:11:02.937Z, dB, A
86.7, 2026-04-14T06:11:03.449Z, dB, A
83.4, 2026-04-14T06:11:03.969Z, dB, A
83.4, 2026-04-14T06:11:04.480Z, dB, A
81.6, 2026-04-14T06:11:05.009Z, dB, A
80.4, 2026-04-14T06:11:05.521Z, dB, A
80.9, 2026-04-14T06:11:06.041Z, dB, A
80.3, 2026-04-14T06:11:06.553Z, dB, A
80.3, 2026-04-14T06:11:06.553Z, dB, A
82.9, 2026-04-14T06:11:07.080Z, dB, A
84.8, 2026-04-14T06:11:07.593Z, dB, A
79.9, 2026-04-14T06:11:08.121Z, dB, A
79.9, 2026-04-14T06:11:08.641Z, dB, A
80.6, 2026-04-14T06:11:09.169Z, dB, A
85, 2026-04-14T06:11:09.689Z, dB, A
86.4, 2026-04-14T06:11:10.201Z, dB, A
82.6, 2026-04-14T06:11:10.713Z, dB, A
87.9, 2026-04-14T06:11:11.225Z, dB, A
82.1, 2026-04-14T06:11:11.737Z, dB, A
80.2, 2026-04-14T06:11:12.257Z, dB, A
77, 2026-04-14T06:11:12.769Z, dB, A
77.2, 2026-04-14T06:11:13.290Z, dB, A
78.6, 2026-04-14T06:11:13.809Z, dB, A
80, 2026-04-14T06:11:14.329Z, dB, A
80.2, 2026-04-14T06:11:14.841Z, dB, A
79.1, 2026-04-14T06:11:15.361Z, dB, A
76.6, 2026-04-14T06:11:15.873Z, dB, A
76.7, 2026-04-14T06:11:16.393Z, dB, A
82.7, 2026-04-14T06:11:16.905Z, dB, A
81.7, 2026-04-14T06:11:17.425Z, dB, A
81.8, 2026-04-14T06:11:17.937Z, dB, A
79.4, 2026-04-14T06:11:18.457Z, dB, A
78.6, 2026-04-14T06:11:18.969Z, dB, A
77.6, 2026-04-14T06:11:19.497Z, dB, A
77.3, 2026-04-14T06:11:20.009Z, dB, A
75.7, 2026-04-14T06:11:20.529Z, dB, A
75.4, 2026-04-14T06:11:21.041Z, dB, A
77.3, 2026-04-14T06:11:21.569Z, dB, A
77.3, 2026-04-14T06:11:21.569Z, dB, A
77.3, 2026-04-14T06:11:22.081Z, dB, A
77.5, 2026-04-14T06:11:22.600Z, dB, A
77.6, 2026-04-14T06:11:23.113Z, dB, A
